Дата;Номер духовки;Название программы;Программа;ID события;Печь;Количество духовок
2024-10-31 16:34:17.000;1;Программа 4;4;20;Печь 1;2
2024-10-31 16:34:45.000;1;Программа 4;4;21;Печь 1;2
2024-10-31 16:34:47.000;1;Программа 4;4;16;Печь 1;2
2024-10-31 16:58:16.000;1;Программа 4;4;17;Печь 1;2
2024-10-31 16:58:27.000;1;Программа 4;4;18;Печь 1;2
2024-10-31 16:58:28.000;1;Программа 4;4;15;Печь 1;2
2024-10-31 16:58:29.000;1;Программа 4;4;8;Печь 1;2
2024-10-31 16:58:30.000;1;Программа 4;4;20;Печь 1;2
2024-10-31 16:58:54.000;1;Программа 4;4;21;Печь 1;2
2024-10-31 16:58:55.000;1;Программа 4;4;20;Печь 1;2
2024-10-31 16:58:55.000;1;Программа 4;4;21;Печь 1;2
2024-10-31 16:58:57.000;1;Программа 5;5;15;Печь 1;2
2024-10-31 17:01:32.000;1;Программа 5;5;1;Печь 1;2
2024-10-31 17:01:36.000;1;Программа 5;5;20;Печь 1;2
2024-10-31 17:02:03.000;1;Программа 5;5;21;Печь 1;2
2024-10-31 17:02:05.000;1;Программа 5;5;16;Печь 1;2
2024-10-31 17:04:21.000;1;Программа 5;5;20;Печь 1;2
2024-10-31 17:04:34.000;1;Программа 5;5;21;Печь 1;2
2024-10-31 17:08:15.000;1;Программа 5;5;17;Печь 1;2
2024-10-31 17:08:46.000;1;Программа 5;5;18;Печь 1;2
2024-10-31 17:08:46.000;1;Программа 5;5;15;Печь 1;2
2024-10-31 17:08:48.000;1;Программа 5;5;8;Печь 1;2
2024-10-31 17:08:49.000;1;Программа 5;5;20;Печь 1;2
2024-10-31 17:09:13.000;1;Программа 5;5;21;Печь 1;2
2024-11-01 06:35:15.000;1;Программа 1;1;15;Печь 1;2
2024-11-01 06:42:17.000;1;Программа 1;1;1;Печь 1;2
2024-11-01 06:42:41.000;1;Программа 4;4;15;Печь 1;2
2024-11-01 06:42:42.000;1;Программа 4;4;1;Печь 1;2
2024-11-01 06:53:05.000;1;Программа 4;4;20;Печь 1;2
2024-11-01 06:53:27.000;1;Программа 4;4;21;Печь 1;2
2024-11-01 06:53:29.000;1;Программа 4;4;16;Печь 1;2
2024-11-01 07:17:28.000;1;Программа 4;4;17;Печь 1;2
2024-11-01 07:17:29.000;1;Программа 4;4;18;Печь 1;2
2024-11-01 07:17:29.000;1;Программа 4;4;15;Печь 1;2
2024-11-01 07:17:30.000;1;Программа 4;4;8;Печь 1;2
2024-11-01 07:17:35.000;1;Программа 4;4;20;Печь 1;2
2024-11-01 07:18:02.000;1;Программа 4;4;21;Печь 1;2
2024-11-01 07:18:10.000;1;Программа 1;1;15;Печь 1;2
2024-11-01 07:19:43.000;1;Программа 1;1;1;Печь 1;2
2024-11-01 07:20:31.000;1;Программа 1;1;20;Печь 1;2
2024-11-01 07:20:54.000;1;Программа 1;1;21;Печь 1;2
2024-11-01 07:20:57.000;1;Программа 1;1;16;Печь 1;2
2024-11-01 07:34:45.000;1;Программа 1;1;17;Печь 1;2
2024-11-01 07:35:07.000;1;Программа 1;1;18;Печь 1;2
2024-11-01 07:35:07.000;1;Программа 1;1;15;Печь 1;2
2024-11-01 07:35:08.000;1;Программа 1;1;1;Печь 1;2
2024-11-01 07:35:09.000;1;Программа 1;1;8;Печь 1;2
2024-11-01 07:35:10.000;1;Программа 1;1;20;Печь 1;2
2024-11-01 07:35:33.000;1;Программа 1;1;21;Печь 1;2
2024-11-01 07:36:19.000;1;Программа 1;1;1;Печь 1;2
2024-11-01 07:36:29.000;1;Программа 1;1;20;Печь 1;2
2024-11-01 07:36:49.000;1;Программа 1;1;16;Печь 1;2
2024-11-01 07:36:49.000;1;Программа 1;1;21;Печь 1;2
2024-11-01 07:50:28.000;1;Программа 1;1;17;Печь 1;2
2024-11-01 07:50:46.000;1;Программа 1;1;18;Печь 1;2
2024-11-01 07:50:47.000;1;Программа 1;1;1;Печь 1;2
2024-11-01 07:50:47.000;1;Программа 1;1;15;Печь 1;2
2024-11-01 07:50:47.000;1;Программа 1;1;1;Печь 1;2
2024-11-01 07:50:48.000;1;Программа 1;1;8;Печь 1;2
2024-11-01 07:50:50.000;1;Программа 1;1;20;Печь 1;2
2024-11-01 07:51:14.000;1;Программа 1;1;21;Печь 1;2
2024-11-01 07:51:21.000;1;Программа 5;5;15;Печь 1;2
2024-11-01 07:52:55.000;1;Программа 5;5;1;Печь 1;2
2024-11-01 07:52:58.000;1;Программа 5;5;20;Печь 1;2
2024-11-01 07:53:19.000;1;Программа 5;5;21;Печь 1;2
2024-11-01 07:53:19.000;1;Программа 5;5;16;Печь 1;2
2024-11-01 07:59:28.000;1;Программа 5;5;17;Печь 1;2
2024-11-01 07:59:47.000;1;Программа 5;5;18;Печь 1;2
2024-11-01 07:59:47.000;1;Программа 5;5;15;Печь 1;2
2024-11-01 07:59:48.000;1;Программа 5;5;8;Печь 1;2
2024-11-01 07:59:57.000;1;Программа 5;5;20;Печь 1;2
2024-11-01 08:00:22.000;1;Программа 5;5;21;Печь 1;2
2024-11-01 09:57:22.000;1;Программа 5;5;20;Печь 1;2
2024-11-01 09:59:57.000;1;Программа 5;5;21;Печь 1;2
2024-11-01 12:17:47.000;1;Программа 2;2;15;Печь 1;2
2024-11-01 12:25:36.000;1;Программа 2;2;1;Печь 1;2
2024-11-01 12:25:39.000;1;Программа 2;2;20;Печь 1;2
2024-11-01 12:26:00.000;1;Программа 2;2;21;Печь 1;2
2024-11-01 12:26:02.000;1;Программа 2;2;16;Печь 1;2
2024-11-01 12:52:11.000;1;Программа 2;2;17;Печь 1;2
2024-11-01 12:52:16.000;1;Программа 2;2;18;Печь 1;2
2024-11-01 12:52:16.000;1;Программа 2;2;15;Печь 1;2
2024-11-01 12:52:17.000;1;Программа 2;2;8;Печь 1;2
2024-11-01 12:52:18.000;1;Программа 2;2;20;Печь 1;2
2024-11-01 12:52:41.000;1;Программа 2;2;21;Печь 1;2
2024-11-01 14:02:28.000;1;Программа 5;5;15;Печь 1;2
2024-11-01 14:08:15.000;1;Программа 5;5;1;Печь 1;2
2024-11-01 14:08:16.000;1;Программа 5;5;20;Печь 1;2
2024-11-01 14:08:37.000;1;Программа 5;5;21;Печь 1;2
2024-11-01 14:08:38.000;1;Программа 5;5;16;Печь 1;2
2024-11-01 14:14:57.000;1;Программа 5;5;17;Печь 1;2
2024-11-01 14:15:29.000;1;Программа 5;5;18;Печь 1;2
2024-11-01 14:15:29.000;1;Программа 5;5;15;Печь 1;2
2024-11-01 14:15:31.000;1;Программа 5;5;8;Печь 1;2
2024-11-01 14:15:32.000;1;Программа 5;5;20;Печь 1;2
2024-11-01 14:15:53.000;1;Программа 5;5;21;Печь 1;2
2024-11-01 16:18:40.000;1;Программа 2;2;15;Печь 1;2
2024-11-01 16:25:26.000;1;Программа 2;2;1;Печь 1;2
2024-11-01 16:44:26.000;1;Программа 2;2;20;Печь 1;2
2024-11-01 16:45:04.000;1;Программа 2;2;21;Печь 1;2
2024-11-01 16:45:04.000;1;Программа 2;2;16;Печь 1;2
2024-11-01 17:11:13.000;1;Программа 2;2;17;Печь 1;2
2024-11-01 17:12:01.000;1;Программа 2;2;18;Печь 1;2
2024-11-01 17:12:02.000;1;Программа 2;2;15;Печь 1;2
2024-11-01 17:12:04.000;1;Программа 2;2;8;Печь 1;2
2024-11-01 17:12:08.000;1;Программа 2;2;20;Печь 1;2
2024-11-01 17:12:31.000;1;Программа 2;2;21;Печь 1;2
2024-11-01 17:12:40.000;1;Программа 5;5;15;Печь 1;2
2024-11-01 17:12:41.000;1;Программа 1;1;15;Печь 1;2
2024-11-01 17:13:32.000;1;Программа 1;1;1;Печь 1;2
2024-11-01 17:35:18.000;1;Программа 1;1;8;Печь 1;2
2024-11-01 17:42:16.000;1;Программа 4;4;15;Печь 1;2
2024-11-01 17:42:54.000;1;Программа 4;4;1;Печь 1;2
2024-11-01 17:43:09.000;1;Программа 4;4;20;Печь 1;2
2024-11-01 17:43:28.000;1;Программа 4;4;21;Печь 1;2
2024-11-01 17:43:29.000;1;Программа 4;4;16;Печь 1;2
2024-11-01 18:06:47.000;1;Программа 4;4;17;Печь 1;2
2024-11-01 18:06:52.000;1;Программа 4;4;18;Печь 1;2
2024-11-01 18:06:52.000;1;Программа 4;4;1;Печь 1;2
2024-11-01 18:06:52.000;1;Программа 4;4;15;Печь 1;2
2024-11-01 18:06:52.000;1;Программа 4;4;1;Печь 1;2
2024-11-01 18:06:53.000;1;Программа 4;4;8;Печь 1;2
2024-11-01 18:06:54.000;1;Программа 4;4;20;Печь 1;2
2024-11-01 18:07:17.000;1;Программа 4;4;21;Печь 1;2
2024-11-02 06:34:17.000;1;Программа 1;1;15;Печь 1;2
2024-11-02 06:41:18.000;1;Программа 1;1;1;Печь 1;2
2024-11-02 06:41:23.000;1;Программа 4;4;15;Печь 1;2
2024-11-02 06:41:23.000;1;Программа 4;4;1;Печь 1;2
2024-11-02 06:53:23.000;1;Программа 4;4;20;Печь 1;2
2024-11-02 06:53:47.000;1;Программа 4;4;21;Печь 1;2
2024-11-02 06:53:49.000;1;Программа 4;4;16;Печь 1;2
2024-11-02 07:17:48.000;1;Программа 4;4;17;Печь 1;2
2024-11-02 07:19:23.000;1;Программа 4;4;18;Печь 1;2
2024-11-02 07:19:23.000;1;Программа 4;4;15;Печь 1;2
2024-11-02 07:19:24.000;1;Программа 4;4;8;Печь 1;2
2024-11-02 07:19:29.000;1;Программа 4;4;20;Печь 1;2
2024-11-02 07:19:55.000;1;Программа 4;4;21;Печь 1;2
2024-11-02 07:20:03.000;1;Программа 1;1;15;Печь 1;2
2024-11-02 07:21:43.000;1;Программа 1;1;1;Печь 1;2
2024-11-02 07:22:34.000;1;Программа 1;1;20;Печь 1;2
2024-11-02 07:22:59.000;1;Программа 1;1;21;Печь 1;2
2024-11-02 07:23:01.000;1;Программа 1;1;16;Печь 1;2
2024-11-02 07:36:50.000;1;Программа 1;1;17;Печь 1;2
2024-11-02 07:37:41.000;1;Программа 1;1;18;Печь 1;2
2024-11-02 07:37:41.000;1;Программа 1;1;1;Печь 1;2
2024-11-02 07:37:41.000;1;Программа 1;1;15;Печь 1;2
2024-11-02 07:37:41.000;1;Программа 1;1;1;Печь 1;2
2024-11-02 07:37:43.000;1;Программа 1;1;8;Печь 1;2
2024-11-02 07:37:44.000;1;Программа 1;1;20;Печь 1;2
2024-11-02 07:38:11.000;1;Программа 1;1;21;Печь 1;2
2024-11-02 07:38:13.000;1;Программа 5;5;15;Печь 1;2
2024-11-02 07:39:53.000;1;Программа 5;5;1;Печь 1;2
2024-11-02 07:39:57.000;1;Программа 5;5;20;Печь 1;2
2024-11-02 07:40:22.000;1;Программа 5;5;21;Печь 1;2
2024-11-02 07:40:22.000;1;Программа 5;5;16;Печь 1;2
2024-11-02 07:46:31.000;1;Программа 5;5;17;Печь 1;2
2024-11-02 07:46:36.000;1;Программа 5;5;18;Печь 1;2
2024-11-02 07:46:36.000;1;Программа 5;5;15;Печь 1;2
2024-11-02 07:48:53.000;1;Программа 5;5;8;Печь 1;2
2024-11-02 07:49:23.000;1;Программа 5;5;20;Печь 1;2
2024-11-02 07:49:50.000;1;Программа 5;5;21;Печь 1;2
2024-11-02 07:51:35.000;1;Программа 5;5;1;Печь 1;2
2024-11-02 07:51:38.000;1;Программа 5;5;20;Печь 1;2
2024-11-02 07:52:03.000;1;Программа 5;5;21;Печь 1;2
2024-11-02 07:52:04.000;1;Программа 5;5;16;Печь 1;2
2024-11-02 07:58:23.000;1;Программа 5;5;17;Печь 1;2
2024-11-02 07:58:37.000;1;Программа 5;5;18;Печь 1;2
2024-11-02 07:58:37.000;1;Программа 5;5;15;Печь 1;2
2024-11-02 07:58:37.000;1;Программа 5;5;8;Печь 1;2
2024-11-02 07:58:42.000;1;Программа 5;5;20;Печь 1;2
2024-11-02 07:59:11.000;1;Программа 5;5;21;Печь 1;2
2024-11-02 09:39:20.000;1;Программа 5;5;20;Печь 1;2
2024-11-02 09:40:39.000;1;Программа 5;5;21;Печь 1;2
2024-11-02 09:58:49.000;1;Программа 1;1;15;Печь 1;2
2024-11-02 10:03:20.000;1;Программа 2;2;15;Печь 1;2
2024-11-02 10:05:39.000;1;Программа 2;2;1;Печь 1;2
2024-11-02 10:08:40.000;1;Программа 2;2;20;Печь 1;2
2024-11-02 10:09:00.000;1;Программа 2;2;21;Печь 1;2
2024-11-02 10:09:03.000;1;Программа 2;2;16;Печь 1;2
2024-11-02 10:35:02.000;1;Программа 2;2;17;Печь 1;2
2024-11-02 10:35:12.000;1;Программа 2;2;18;Печь 1;2
2024-11-02 10:35:13.000;1;Программа 2;2;15;Печь 1;2
2024-11-02 10:35:13.000;1;Программа 2;2;8;Печь 1;2
2024-11-02 10:35:15.000;1;Программа 2;2;20;Печь 1;2
2024-11-02 10:35:36.000;1;Программа 2;2;21;Печь 1;2
2024-11-02 11:16:38.000;1;Программа 5;5;15;Печь 1;2
2024-11-02 11:20:55.000;1;Программа 5;5;1;Печь 1;2
2024-11-02 11:23:13.000;1;Программа 5;5;20;Печь 1;2
2024-11-02 11:23:39.000;1;Программа 5;5;21;Печь 1;2
2024-11-02 11:23:41.000;1;Программа 5;5;16;Печь 1;2
2024-11-02 11:29:40.000;1;Программа 5;5;17;Печь 1;2
2024-11-02 11:29:55.000;1;Программа 5;5;18;Печь 1;2
2024-11-02 11:29:55.000;1;Программа 5;5;15;Печь 1;2
2024-11-02 11:29:56.000;1;Программа 5;5;8;Печь 1;2
2024-11-02 11:29:57.000;1;Программа 5;5;20;Печь 1;2
2024-11-02 11:30:22.000;1;Программа 5;5;21;Печь 1;2
2024-11-02 11:30:24.000;1;Программа 2;2;15;Печь 1;2
2024-11-02 11:30:25.000;1;Программа 3;3;15;Печь 1;2
2024-11-02 11:32:07.000;1;Программа 3;3;1;Печь 1;2
2024-11-02 11:33:36.000;1;Программа 3;3;20;Печь 1;2
2024-11-02 11:34:04.000;1;Программа 3;3;21;Печь 1;2
2024-11-02 11:34:06.000;1;Программа 3;3;16;Печь 1;2
2024-11-02 11:37:55.000;1;Программа 3;3;17;Печь 1;2
2024-11-02 11:38:04.000;1;Программа 3;3;18;Печь 1;2
2024-11-02 11:38:04.000;1;Программа 3;3;15;Печь 1;2
2024-11-02 11:38:05.000;1;Программа 3;3;8;Печь 1;2
2024-11-02 11:38:07.000;1;Программа 3;3;20;Печь 1;2
2024-11-02 11:38:26.000;1;Программа 3;3;21;Печь 1;2
2024-11-02 11:38:29.000;1;Программа 1;1;15;Печь 1;2
2024-11-02 11:39:17.000;1;Программа 1;1;1;Печь 1;2
2024-11-02 11:42:13.000;1;Программа 1;1;20;Печь 1;2
2024-11-02 11:42:34.000;1;Программа 1;1;21;Печь 1;2
2024-11-02 11:42:34.000;1;Программа 1;1;16;Печь 1;2
2024-11-02 11:56:23.000;1;Программа 1;1;17;Печь 1;2
2024-11-02 11:58:37.000;1;Программа 1;1;18;Печь 1;2
2024-11-02 11:58:37.000;1;Программа 1;1;15;Печь 1;2
2024-11-02 11:58:38.000;1;Программа 1;1;8;Печь 1;2
2024-11-02 11:58:40.000;1;Программа 1;1;20;Печь 1;2
2024-11-02 11:59:00.000;1;Программа 1;1;21;Печь 1;2
2024-10-31 06:50:12.000;2;Программа 1;1;15;Печь 1;2
2024-10-31 06:58:52.000;2;Программа 1;1;1;Печь 1;2
2024-10-31 06:59:58.000;2;Программа 4;4;15;Печь 1;2
2024-10-31 06:59:58.000;2;Программа 4;4;1;Печь 1;2
2024-10-31 07:05:40.000;2;Программа 4;4;8;Печь 1;2
2024-10-31 07:05:42.000;2;Программа 4;4;20;Печь 1;2
2024-10-31 07:06:16.000;2;Программа 4;4;21;Печь 1;2
2024-10-31 07:07:22.000;2;Программа 4;4;1;Печь 1;2
2024-10-31 07:12:49.000;2;Программа 4;4;20;Печь 1;2
2024-10-31 07:13:19.000;2;Программа 4;4;21;Печь 1;2
2024-10-31 07:13:19.000;2;Программа 4;4;16;Печь 1;2
2024-10-31 07:37:38.000;2;Программа 4;4;17;Печь 1;2
2024-10-31 07:38:00.000;2;Программа 4;4;18;Печь 1;2
2024-10-31 07:38:00.000;2;Программа 4;4;15;Печь 1;2
2024-10-31 07:38:02.000;2;Программа 4;4;8;Печь 1;2
2024-10-31 07:38:02.000;2;Программа 4;4;20;Печь 1;2
2024-10-31 07:38:23.000;2;Программа 4;4;21;Печь 1;2
2024-10-31 07:38:26.000;2;Программа 1;1;15;Печь 1;2
2024-10-31 07:39:58.000;2;Программа 1;1;1;Печь 1;2
2024-10-31 07:40:03.000;2;Программа 1;1;20;Печь 1;2
2024-10-31 07:40:25.000;2;Программа 1;1;21;Печь 1;2
2024-10-31 07:40:25.000;2;Программа 1;1;16;Печь 1;2
2024-10-31 07:53:54.000;2;Программа 1;1;17;Печь 1;2
2024-10-31 07:54:09.000;2;Программа 1;1;18;Печь 1;2
2024-10-31 07:54:09.000;2;Программа 1;1;1;Печь 1;2
2024-10-31 07:54:09.000;2;Программа 1;1;15;Печь 1;2
2024-10-31 07:54:09.000;2;Программа 1;1;1;Печь 1;2
2024-10-31 07:54:10.000;2;Программа 1;1;8;Печь 1;2
2024-10-31 07:54:11.000;2;Программа 1;1;20;Печь 1;2
2024-10-31 07:54:30.000;2;Программа 1;1;21;Печь 1;2
2024-10-31 07:54:34.000;2;Программа 5;5;15;Печь 1;2
2024-10-31 07:56:16.000;2;Программа 5;5;1;Печь 1;2
2024-10-31 07:56:21.000;2;Программа 5;5;20;Печь 1;2
2024-10-31 07:56:41.000;2;Программа 5;5;21;Печь 1;2
2024-10-31 07:56:41.000;2;Программа 5;5;16;Печь 1;2
2024-10-31 08:02:10.000;2;Программа 5;5;17;Печь 1;2
2024-10-31 08:02:20.000;2;Программа 5;5;18;Печь 1;2
2024-10-31 08:02:20.000;2;Программа 5;5;15;Печь 1;2
2024-10-31 08:05:11.000;2;Программа 5;5;8;Печь 1;2
2024-10-31 08:05:12.000;2;Программа 5;5;20;Печь 1;2
2024-10-31 08:05:31.000;2;Программа 5;5;21;Печь 1;2
2024-10-31 10:36:25.000;2;Программа 4;4;15;Печь 1;2
2024-10-31 10:42:05.000;2;Программа 4;4;1;Печь 1;2
2024-10-31 10:42:13.000;2;Программа 4;4;20;Печь 1;2
2024-10-31 10:42:39.000;2;Программа 4;4;21;Печь 1;2
2024-10-31 10:42:40.000;2;Программа 4;4;16;Печь 1;2
2024-10-31 11:06:19.000;2;Программа 4;4;17;Печь 1;2
2024-10-31 11:06:28.000;2;Программа 4;4;18;Печь 1;2
2024-10-31 11:06:28.000;2;Программа 4;4;15;Печь 1;2
2024-10-31 11:06:30.000;2;Программа 4;4;8;Печь 1;2
2024-10-31 11:06:31.000;2;Программа 4;4;20;Печь 1;2
2024-10-31 11:06:53.000;2;Программа 4;4;21;Печь 1;2
2024-10-31 12:32:31.000;2;Программа 1;1;15;Печь 1;2
2024-10-31 12:37:41.000;2;Программа 1;1;1;Печь 1;2
2024-10-31 12:38:13.000;2;Программа 1;1;20;Печь 1;2
2024-10-31 12:38:37.000;2;Программа 1;1;21;Печь 1;2
2024-10-31 12:38:37.000;2;Программа 1;1;16;Печь 1;2
2024-10-31 12:49:52.000;2;Программа 1;1;20;Печь 1;2
2024-10-31 12:49:59.000;2;Программа 1;1;21;Печь 1;2
2024-10-31 12:52:23.000;2;Программа 1;1;17;Печь 1;2
2024-10-31 12:52:27.000;2;Программа 1;1;18;Печь 1;2
2024-10-31 12:52:27.000;2;Программа 1;1;1;Печь 1;2
2024-10-31 12:52:27.000;2;Программа 1;1;15;Печь 1;2
2024-10-31 12:52:27.000;2;Программа 1;1;1;Печь 1;2
2024-10-31 12:52:28.000;2;Программа 1;1;8;Печь 1;2
2024-10-31 12:52:29.000;2;Программа 1;1;20;Печь 1;2
2024-10-31 12:52:54.000;2;Программа 1;1;21;Печь 1;2
2024-10-31 12:52:59.000;2;Программа 2;2;15;Печь 1;2
2024-10-31 12:54:27.000;2;Программа 2;2;1;Печь 1;2
2024-10-31 12:58:24.000;2;Программа 2;2;20;Печь 1;2
2024-10-31 12:58:45.000;2;Программа 2;2;21;Печь 1;2
2024-10-31 12:58:46.000;2;Программа 2;2;16;Печь 1;2
2024-10-31 13:24:05.000;2;Программа 2;2;17;Печь 1;2
2024-10-31 13:24:14.000;2;Программа 2;2;18;Печь 1;2
2024-10-31 13:24:14.000;2;Программа 2;2;15;Печь 1;2
2024-10-31 13:24:17.000;2;Программа 2;2;8;Печь 1;2
2024-10-31 13:24:17.000;2;Программа 2;2;20;Печь 1;2
